Htno,Sem,Subcode,Subname,Internal,External,Marks,Dept Name
10NG1A0108,1-2,R10202,MATHEMATICS- II,5,0,5,CE
10NG1A0108,1-2,R10203,ENGINEERING PHYSICS -II,7,0,7,CE
10NG1A0118,1-2,R10204,ENGINEERING CHEMISTRY -II,9,3,12,CE
10NG1A0118,1-2,R10205,ENGINEERING DRAWING,16,9,25,CE
10NG1A0129,1-2,R10202,MATHEMATICS- II,7,0,7,CE
10NG1A0129,1-2,R10203,ENGINEERING PHYSICS -II,4,0,4,CE
10NG1A0139,1-2,R10202,MATHEMATICS- II,10,0,10,CE
10NG1A0139,1-2,R10203,ENGINEERING PHYSICS -II,7,6,13,CE
10NG1A0337,1-2,R10202,MATHEMATICS- II,4,0,4,ME
10NG1A0337,1-2,R10203,ENGINEERING PHYSICS -II,6,0,6,ME
10NG1A0535,1-2,R10203,ENGINEERING PHYSICS -II,7,0,7,CSE
10NG1A1235,1-2,R10202,MATHEMATICS- II,4,57,61,IT
10NG1A1235,1-2,R10205,ENGINEERING DRAWING,20,16,36,IT
10NG1A1249,1-2,R10202,MATHEMATICS- II,4,0,4,IT
10NG1A1249,1-2,R10203,ENGINEERING PHYSICS -II,9,7,16,IT
11NG1A0101,1-2,R10204,ENGINEERING CHEMISTRY -II,7,3,10,CE
11NG1A0106,1-2,R10202,MATHEMATICS- II,4,0,4,CE
11NG1A0106,1-2,R10203,ENGINEERING PHYSICS -II,5,6,11,CE
11NG1A0106,1-2,R10204,ENGINEERING CHEMISTRY -II,5,19,24,CE
11NG1A0106,1-2,R10205,ENGINEERING DRAWING,19,0,19,CE
11NG1A0116,1-2,R10202,MATHEMATICS- II,7,8,15,CE
11NG1A0116,1-2,R10203,ENGINEERING PHYSICS -II,9,9,18,CE
11NG1A0116,1-2,R10204,ENGINEERING CHEMISTRY -II,12,6,18,CE
11NG1A0120,1-2,R10202,MATHEMATICS- II,10,0,10,CE
11NG1A0202,1-2,R10204,ENGINEERING CHEMISTRY -II,9,39,48,EEE
11NG1A0204,1-2,R10202,MATHEMATICS- II,10,8,18,EEE
11NG1A0204,1-2,R10205,ENGINEERING DRAWING,20,5,25,EEE
11NG1A0206,1-2,R10205,ENGINEERING DRAWING,14,5,19,EEE
11NG1A0231,1-2,R10203,ENGINEERING PHYSICS -II,10,8,18,EEE
11NG1A0231,1-2,R10204,ENGINEERING CHEMISTRY -II,6,37,43,EEE
11NG1A0253,1-2,R10204,ENGINEERING CHEMISTRY -II,9,33,42,EEE
11NG1A0253,1-2,R10205,ENGINEERING DRAWING,10,2,12,EEE
11NG1A0304,1-2,R10203,ENGINEERING PHYSICS -II,8,0,8,ME
11NG1A0304,1-2,R10206,MATHEMATICAL METHODS,4,0,4,ME
11NG1A0315,1-2,R10202,MATHEMATICS- II,7,0,7,ME
11NG1A0315,1-2,R10206,MATHEMATICAL METHODS,9,0,9,ME
11NG1A0319,1-2,R10204,ENGINEERING CHEMISTRY -II,4,0,4,ME
11NG1A0320,1-2,R10203,ENGINEERING PHYSICS -II,5,0,5,ME
11NG1A0320,1-2,R10204,ENGINEERING CHEMISTRY -II,7,0,7,ME
11NG1A0320,1-2,R10206,MATHEMATICAL METHODS,7,0,7,ME
11NG1A0338,1-2,R10203,ENGINEERING PHYSICS -II,11,9,20,ME
11NG1A0338,1-2,R10206,MATHEMATICAL METHODS,11,0,11,ME
11NG1A0342,1-2,R10202,MATHEMATICS- II,7,4,11,ME
11NG1A0342,1-2,R10203,ENGINEERING PHYSICS -II,8,9,17,ME
11NG1A0349,1-2,R10202,MATHEMATICS- II,4,0,4,ME
11NG1A0349,1-2,R10206,MATHEMATICAL METHODS,5,0,5,ME
11NG1A0356,1-2,R10203,ENGINEERING PHYSICS -II,7,7,14,ME
11NG1A0433,1-2,R10202,MATHEMATICS- II,8,0,8,ECE
11NG1A0433,1-2,R10203,ENGINEERING PHYSICS -II,8,12,20,ECE
11NG1A0435,1-2,R10202,MATHEMATICS- II,12,0,12,ECE
11NG1A0439,1-2,R10202,MATHEMATICS- II,13,0,13,ECE
11NG1A0439,1-2,R10203,ENGINEERING PHYSICS -II,7,0,7,ECE
11NG1A0450,1-2,R10202,MATHEMATICS- II,15,0,15,ECE
11NG1A04B6,1-2,R10202,MATHEMATICS- II,11,8,19,ECE
11NG1A0522,1-2,R10203,ENGINEERING PHYSICS -II,12,17,29,CSE
11NG1A0522,1-2,R10204,ENGINEERING CHEMISTRY -II,9,31,40,CSE
11NG1A1208,1-2,R10203,ENGINEERING PHYSICS -II,10,5,15,IT
11NG1A1241,1-2,R10203,ENGINEERING PHYSICS -II,16,0,16,IT
11NG1A1241,1-2,R10205,ENGINEERING DRAWING,17,0,17,IT
11NG1A1251,1-2,R10203,ENGINEERING PHYSICS -II,14,14,28,IT
11NG1A1213,1-2,R10205,ENGINEERING DRAWING,25,10,35,IT
11NG1A1238,1-2,R10203,ENGINEERING PHYSICS -II,14,4,18,IT
11NG1A1241,1-2,R10205,ENGINEERING DRAWING,12,0,12,IT
11NG1A1241,1-2,R10206,MATHEMATICAL METHODS,7,1,8,IT
12NG1A0104,1-2,R10202,MATHEMATICS- II,12,0,12,CE
12NG1A0104,1-2,R10203,ENGINEERING PHYSICS -II,9,0,9,CE
12NG1A0104,1-2,R10204,ENGINEERING CHEMISTRY -II,10,2,12,CE
12NG1A0108,1-2,R10204,ENGINEERING CHEMISTRY -II,7,19,26,CE
12NG1A0123,1-2,R10202,MATHEMATICS- II,10,0,10,CE
12NG1A0126,1-2,R10202,MATHEMATICS- II,5,0,5,CE
12NG1A0126,1-2,R10205,ENGINEERING DRAWING,14,0,14,
12NG1A0240,1-2,R10202,MATHEMATICS- II,9,11,20,EEE
12NG1A0301,1-2,R10206,MATHEMATICAL METHODS,9,6,15,ME
12NG1A0309,1-2,R10202,MATHEMATICS- II,13,10,23,ME
12NG1A0309,1-2,R10203,ENGINEERING PHYSICS -II,9,7,16,ME
12NG1A0309,1-2,R10205,ENGINEERING DRAWING,14,3,17,ME
12NG1A0318,1-2,R10202,MATHEMATICS- II,13,2,15,ME
12NG1A0318,1-2,R10203,ENGINEERING PHYSICS -II,4,0,4,ME
12NG1A0318,1-2,R10204,ENGINEERING CHEMISTRY -II,10,14,24,ME
12NG1A0318,1-2,R10205,ENGINEERING DRAWING,14,0,14,ME
12NG1A0318,1-2,R10206,MATHEMATICAL METHODS,6,2,8,ME
12NG1A0321,1-2,R10202,MATHEMATICS- II,13,7,20,ME
12NG1A0325,1-2,R10202,MATHEMATICS- II,12,11,23,ME
12NG1A0325,1-2,R10203,ENGINEERING PHYSICS -II,7,33,40,ME
12NG1A0329,1-2,R10202,MATHEMATICS- II,10,0,10,ME
12NG1A0329,1-2,R10204,ENGINEERING CHEMISTRY -II,14,26,40,ME
12NG1A0329,1-2,R10205,ENGINEERING DRAWING,14,4,18,ME
12NG1A0329,1-2,R10206,MATHEMATICAL METHODS,12,29,41,ME
12NG1A0334,1-2,R10203,ENGINEERING PHYSICS -II,7,0,7,ME
12NG1A0338,1-2,R10202,MATHEMATICS- II,8,0,8,ME
12NG1A0351,1-2,R10203,ENGINEERING PHYSICS -II,13,9,22,ME
12NG1A0353,1-2,R10202,MATHEMATICS- II,9,7,16,ME
12NG1A0353,1-2,R10203,ENGINEERING PHYSICS -II,12,5,17,ME
12NG1A0368,1-2,R10203,ENGINEERING PHYSICS -II,7,7,14,ME
12NG1A0368,1-2,R10204,ENGINEERING CHEMISTRY -II,7,24,31,ME
12NG1A0368,1-2,R10205,ENGINEERING DRAWING,16,0,16,ME
12NG1A0368,1-2,R10206,MATHEMATICAL METHODS,7,1,8,ME
12NG1A0377,1-2,R10203,ENGINEERING PHYSICS -II,12,5,17,ME
12NG1A0378,1-2,R10205,ENGINEERING DRAWING,14,0,14,ME
12NG1A0383,1-2,R10202,MATHEMATICS- II,7,0,7,ME
12NG1A0383,1-2,R10204,ENGINEERING CHEMISTRY -II,6,0,6,ME
12NG1A0385,1-2,R10202,MATHEMATICS- II,10,0,10,ME
12NG1A0385,1-2,R10205,ENGINEERING DRAWING,14,0,14,ME
12NG1A0385,1-2,R10206,MATHEMATICAL METHODS,3,0,3,ME
12NG1A0386,1-2,R10205,ENGINEERING DRAWING,5,0,5,ME
12NG1A0388,1-2,R10202,MATHEMATICS- II,7,0,7,ME
12NG1A0388,1-2,R10203,ENGINEERING PHYSICS -II,11,0,11,ME
12NG1A0389,1-2,R10202,MATHEMATICS- II,13,0,13,ME
12NG1A0394,1-2,R10202,MATHEMATICS- II,17,2,19,ME
12NG1A0394,1-2,R10204,ENGINEERING CHEMISTRY -II,13,12,25,ME
12NG1A0396,1-2,R10202,MATHEMATICS- II,16,10,26,ME
12NG1A0396,1-2,R10203,ENGINEERING PHYSICS -II,7,6,13,ME
12NG1A0402,1-2,R10202,MATHEMATICS- II,14,8,22,ECE
12NG1A0402,1-2,R10203,ENGINEERING PHYSICS -II,15,7,22,ECE
12NG1A0409,1-2,R10202,MATHEMATICS- II,14,0,14,ECE
12NG1A0465,1-2,R10202,MATHEMATICS- II,7,0,7,ECE
12NG1A0465,1-2,R10206,MATHEMATICAL METHODS,4,0,4,ECE
12NG1A0504,1-2,R10203,ENGINEERING PHYSICS -II,13,31,44,CSE
12NG1A0504,1-2,R10204,ENGINEERING CHEMISTRY -II,13,31,44,CSE
12NG1A0505,1-2,R10205,ENGINEERING DRAWING,16,0,16,CSE
12NG1A0513,1-2,R10203,ENGINEERING PHYSICS -II,8,40,48,CSE
12NG1A0528,1-2,R10203,ENGINEERING PHYSICS -II,8,6,14,CSE
12NG1A0528,1-2,R10204,ENGINEERING CHEMISTRY -II,11,19,30,CSE
12NG1A0538,1-2,R10203,ENGINEERING PHYSICS -II,12,2,14,CSE
12NG1A0538,1-2,R10204,ENGINEERING CHEMISTRY -II,12,6,18,CSE
12NG1A0554,1-2,R10202,MATHEMATICS- II,13,0,13,CSE
12NG1A0554,1-2,R10203,ENGINEERING PHYSICS -II,8,10,18,CSE
12NG1A0554,1-2,R10205,ENGINEERING DRAWING,17,5,22,CSE
12NG1A0564,1-2,R10202,MATHEMATICS- II,6,0,6,CSE
12NG1A0564,1-2,R10204,ENGINEERING CHEMISTRY -II,18,0,18,CSE
12NG1A1202,1-2,R10202,MATHEMATICS- II,12,0,12,IT
12NG1A1202,1-2,R10203,ENGINEERING PHYSICS -II,14,0,14,IT
12NG1A1202,1-2,R10206,MATHEMATICAL METHODS,9,0,9,IT
12NG1A1214,1-2,R10202,MATHEMATICS- II,7,33,40,IT
12NG1A1214,1-2,R10203,ENGINEERING PHYSICS -II,10,5,15,IT
12NG1A1220,1-2,R10202,MATHEMATICS- II,10,0,10,IT
12NG1A1223,1-2,R10202,MATHEMATICS- II,8,0,8,IT
12NG1A1225,1-2,R10202,MATHEMATICS- II,12,0,12,IT
12NG1A1225,1-2,R10203,ENGINEERING PHYSICS -II,12,0,12,IT
12NG1A1225,1-2,R10205,ENGINEERING DRAWING,17,0,17,IT
12NG1A1212,1-2,R10203,ENGINEERING PHYSICS -II,6,0,6,IT
12NG1A1216,1-2,R10203,ENGINEERING PHYSICS -II,8,2,10,IT
13NG1A0102,1-2,R13202,MATHEMATICS-III,17,16,33,CE
