htno,sem,subcode,subname,internal,external,marks,dept
15NG1A0101,1-2 SEM,R13201,ENGLISH-II,26,53,79,CE
15NG1A0101,1-2 SEM,R13202,MATHEMATICS-III,26,59,85,CE
15NG1A0101,1-2 SEM,R13203,ENGG. PHYSICS,27,36,63,CE
15NG1A0101,1-2 SEM,R13207,MATHEMATICS-II (MM),29,63,92,CE
15NG1A0101,1-2 SEM,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,25,14,39,CE
15NG1A0101,1-2 SEM,R13209,ENGG. DRAWING,27,64,91,CE
15NG1A0101,1-2 SEM,R13213,ENGLISH-COMMUNICATION SKILLS LAB-II,25,46,71,CE
15NG1A0101,1-2 SEM,R13214,ENGINEERING PHYSICS LAB,25,50,75,CE
15NG1A0101,1-2 SEM,R13216,ENGINEERING WORKSHOP & IT WORKSHOP,21,42,63,CE
15NG1A0102,1-2 SEM,R13201,ENGLISH-II,26,37,63,CE
15NG1A0102,1-2 SEM,R13202,MATHEMATICS-III,27,0,27,CE
15NG1A0102,1-2 SEM,R13203,ENGG. PHYSICS,16,5,21,CE
15NG1A0102,1-2 SEM,R13207,MATHEMATICS-II (MM),20,16,36,CE
15NG1A0102,1-2 SEM,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,22,27,49,CE
15NG1A0102,1-2 SEM,R13209,ENGG. DRAWING,20,0,20,CE
15NG1A0102,1-2 SEM,R13213,ENGLISH-COMMUNICATION SKILLS LAB-II,24,46,70,CE
15NG1A0102,1-2 SEM,R13214,ENGINEERING PHYSICS LAB,18,38,56,CE
15NG1A0102,1-2 SEM,R13216,ENGINEERING WORKSHOP & IT WORKSHOP,23,46,69,CE
15NG1A0103,1-2 SEM,R13201,ENGLISH-II,19,53,72,CE
15NG1A0103,1-2 SEM,R13202,MATHEMATICS-III,5,-1,4,CE
15NG1A0103,1-2 SEM,R13203,ENGG. PHYSICS,5,0,5,CE
15NG1A0103,1-2 SEM,R13207,MATHEMATICS-II (MM),17,32,49,CE
15NG1A0103,1-2 SEM,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,21,32,53,CE
15NG1A0103,1-2 SEM,R13209,ENGG. DRAWING,23,36,59,CE
15NG1A0103,1-2 SEM,R13213,ENGLISH-COMMUNICATION SKILLS LAB-II,24,44,68,CE
15NG1A0103,1-2 SEM,R13214,ENGINEERING PHYSICS LAB,19,40,59,CE
15NG1A0103,1-2 SEM,R13216,ENGINEERING WORKSHOP & IT WORKSHOP,24,48,72,CE
15NG1A0104,1-2 SEM,R13201,ENGLISH-II,22,39,61,CE
